base;titulo.x;ano.x;autores;desc_1;desc_2;link_de_acesso;link;titulo.y;temas;ano.y;local_defesa;instituicao;parser_usado;motivo_na
BDTD;Tecnologias para adiar o fim : tempo, poder e subjetividade no regime de visibilidade contemporâneo;2024;PESSOA, Mirella Ramos Costa;NA;x;https://bdtd.ibict.br/vufind/Record/UFPE_1359ea569cdb58d2753fa3e7a0cca06b;https://bdtd.ibict.br/vufind/Record/UFPE_1359ea569cdb58d2753fa3e7a0cca06b;Tecnologias para adiar o fim : tempo, poder e subjetividade no regime de visibilidade contemporâneo;;NA;NA;;bdtd_vufind;NA
BDTD;Implantação de bancos de dados distribuídos em um cluster de baixo consumo;2022;Silva, Lucas Ferreira da;NA;x;https://bdtd.ibict.br/vufind/Record/UFSM_a47d8ad334120bd10b761e4285d6f857;https://bdtd.ibict.br/vufind/Record/UFSM_a47d8ad334120bd10b761e4285d6f857;Implantação de bancos de dados distribuídos em um cluster de baixo consumo;;NA;e alta disponibilidade possibilitam que tais tecnologias consigam acompanhar o crescimento vertiginoso do volume e fontes dos dados;;bdtd_vufind;NA
BDTD;Redes neurais artificiais adaptativas: abordagem evolutiva para melhoria de performance e eficiência;2023;Fonseca, Tales Lima;NA;x;https://bdtd.ibict.br/vufind/Record/UFJF_1e45d36176c99e8a2e53ee84fb32a443;https://bdtd.ibict.br/vufind/Record/UFJF_1e45d36176c99e8a2e53ee84fb32a443;Redes neurais artificiais adaptativas: abordagem evolutiva para melhoria de performance e eficiência;;NA;NA;;bdtd_vufind;NA
BDTD;A educação 4.0 à luz da teoria crítica da tecnologia de Andrew Feenberg;2021;Norte, Andréa Pereira;x;NA;https://bdtd.ibict.br/vufind/Record/NOVE_c1f733619d0dd6c076d0f5aeda7e0e22;https://bdtd.ibict.br/vufind/Record/NOVE_c1f733619d0dd6c076d0f5aeda7e0e22;A educação 4.0 à luz da teoria crítica da tecnologia de Andrew Feenberg;;NA;NA;;bdtd_vufind;NA
BDTD;Desinformação gerada por inteligência artificial: abordagens teóricas para estratégias de mitigação;2024;Santos, Patrick Renilton Amorim dos;x;NA;https://bdtd.ibict.br/vufind/Record/UCB_456a2c854311daeb0c5fc30a50a78510;https://bdtd.ibict.br/vufind/Record/UCB_456a2c854311daeb0c5fc30a50a78510;Desinformação gerada por inteligência artificial: abordagens teóricas para estratégias de mitigação;;NA;NA;;bdtd_vufind;NA
BDTD;Ensino de ciências: A utilização da Inteligência Artificial e de metodologias ativas para promover o desenvolvimento do pensamento científico;2025;Silva, Samira Andrade da;x;NA;https://bdtd.ibict.br/vufind/Record/USP_d2393143e54ceb647b5406f61d1bca06;https://bdtd.ibict.br/vufind/Record/USP_d2393143e54ceb647b5406f61d1bca06;Ensino de ciências: A utilização da Inteligência Artificial e de metodologias ativas para promover o desenvolvimento do pensamento científico;;NA;NA;;bdtd_vufind;NA
BDTD;Aproximações possíveis (e necessárias) entre Inteligência Artificial e escola;2024;Zylbersztajn, Moisés;x;NA;https://bdtd.ibict.br/vufind/Record/PUC_SP-1_2362f8a4af7df07ddb4bd74bbe2f4085;https://bdtd.ibict.br/vufind/Record/PUC_SP-1_2362f8a4af7df07ddb4bd74bbe2f4085;Aproximações possíveis (e necessárias) entre Inteligência Artificial e escola;;NA;NA;;bdtd_vufind;NA
BDTD;A teoria crítica frankfurtiana, Freud e a educação;2023;Bessa, Márcia Cristina Fernandes Pereira;x;NA;https://bdtd.ibict.br/vufind/Record/PUC_GO_38fb79ceff8fd12228e629b8311aa6e7;https://bdtd.ibict.br/vufind/Record/PUC_GO_38fb79ceff8fd12228e629b8311aa6e7;A teoria crítica frankfurtiana, Freud e a educação;;NA;NA;;bdtd_vufind;NA
BDTD;A integração das tecnologias digitais às salas de aula: características e enquadramento a partir da teoria crítica;2022;Santos, Fabiano Pereira dos;x;NA;https://bdtd.ibict.br/vufind/Record/UFAM_987bf729c00ce34c6f0d250ce6780c80;https://bdtd.ibict.br/vufind/Record/UFAM_987bf729c00ce34c6f0d250ce6780c80;A integração das tecnologias digitais às salas de aula: características e enquadramento a partir da teoria crítica;;NA;NA;;bdtd_vufind;NA
BDTD;Alfabetização e tecnologia: uma análise na perspectiva da Pedagogia Histórico-Crítica;2020;Darius, Rebeca Pizza Pancotte;x;NA;https://bdtd.ibict.br/vufind/Record/UNSP_db4084978b45d45be4fd1b132207daa4;https://bdtd.ibict.br/vufind/Record/UNSP_db4084978b45d45be4fd1b132207daa4;Alfabetização e tecnologia: uma análise na perspectiva da Pedagogia Histórico-Crítica;;NA;NA;;bdtd_vufind;NA
